FECHA,LOTE,DENOMINACIÓN/     MARCA,CANTIDAD,%H,#MALLAS,NOTAS DE CATACIÓN,PUNTAJE_N°,RESPONSABLE
30-08-22,01-300822,Madre Laura,32.0,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
13-10-22,01-131022,Madre Laura,79.8,10.4,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
18-10-22,01-181022,Madre Laura,38.0,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
18-10-22,05-181022,Doña Dolly,43.0,10.0,14,"Chocolate dulce,fresas,miel,cuerpo cremoso,acidez jugosa citrica y final frutal.",85.0,AC
29-10-22,01-291022,Madre Laura,272.0,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
2022-03-11 00:00:00,08-031122,Gesha Villabernarda,19.3,10.4,14,"Jazmin,limonciollo, acidez jugosa, cuerpo sedoso, fnal dulce y prolongado",86.0,AC
2022-10-11 00:00:00,01-101122,Madre Laura,255.5,10.2,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
18-11-22,01-181122,Madre Laura,13.2,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
18-11-22,06-181122,Don Victor,13.0,10.8,14,"Frutas amarillas, cuerpo cremoso, acidez brillante, miel y final dulce",85.0,AC
21-11-22,01-211122,Madre Laura,37.8,10.4,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
28-11-22,01-281122,Madre Laura,158.0,10.8,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
16-12-2,01-161222,Madre Laura,170.0,10.7,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
26-12-22,01-261222,Madre Laura,70.0,10.8,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
29-12-22,01-291222,Madre Laura,225.0,11.3,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
2023-11-01 00:00:00,08-110123,Gesha Villabernarda,34.0,10.8,14,"Jazmin, mandarina, acidez jugosa, cuerpo sedoso y final frutal",86.0,AC
2023-11-01 00:00:00,01-110123,Madre Laura,10.0,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
24-01-23,01-240123,Madre Laura,40.0,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
2023-06-02 00:00:00,01-060223,Madre Laura,47.6,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
16-02-23,01-160223,Madre Laura,92.0,10.8,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
21-02-23,08-210223,Gesha Villabernarda,5.0,10.3,14,"Jazmin, mandarina, acidez jugosa, cuerpo sedoso y final frutal",86.0,LFQ
2023-01-03 00:00:00,08-010323,Gesha Villabernarda,50.0,10.5,14,"Jazmin, mandarina, acidez jugosa, cuerpo sedoso y final frutal",86.0,AC
28-03-23,01-280323,Madre Laura,60.0,10.8,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
29-03-23,01-290323,Madre Laura,65.0,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
2023-10-04 00:00:00,01-100423,Madre Laura,120.0,10.8,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
24-04-23,01-240423,Madre Laura,101.45,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
2023-05-04 00:00:00,01-040523,Madre Laura,40.0,10.8,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
2023-06-15 00:00:00,01-150623,Madre Laura,10.0,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
2023-10-27 00:00:00,01-271023,Madre Laura,20.0,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
10-Ene-2024,01-100124,Madre Laura,20.0,10.4,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
02-Abril-2024,01-020424,Madre Laura,20.0,10.5,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
2024-06-20 00:00:00,01-200624,Madre Laura,14.0,10.8,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
2024-07-18 00:00:00,01-180724,Madre Laura,20.0,10.2,14,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84.0,AC
