FECHA DE TUESTE,FECHA DE EMPAQUE,MARCA,CANTIDAD,TOSTADOR
22-7-22,25-7-22,Madre Laura,3.0,LFQ
22-7-22,25-7-22,Madre Laura,1.0,LFQ
22-7-22,25-7-22,Madre Laura,2.0,LFQ
22-7-22,26-7-22,Madre Laura,1.0,LFQ
25-7-22,26-7-22,Madre Laura,3.0,LFQ
25-7-22,26-7-22,Madre Laura,1.0,LFQ
25-7-22,27-7-22,Madre Laura,3.0,LFQ
25-7-22,27-7-22,Madre Laura,1.0,LFQ
28-7-22,28-7-22,Madre Laura,5.0,LFQ
28-7-22,28-7-22,Don Felix,1.0,LFQ
28-7-22,28-7-22,Tabi Natural,1.0,LFQ
28-7-22,28-7-23,Madre Laura,1.0,LFQ
28-7-22,28-7-22,Madre Laura,1.0,LFQ
31-7-22,2022-01-08 00:00:00,Madre Laura,4.0,LFQ
31-7-22,2022-02-08 00:00:00,Madre Laura,1.0,LFQ
31-7-22,2022-02-08 00:00:00,Madre Laura,2.0,LFQ
2022-02-08 00:00:00,2022-03-08 00:00:00,Madre Laura,2.0,LFQ
31-7-22,2022-03-08 00:00:00,Madre Laura,2.0,LFQ
31-7-22,2022-04-08 00:00:00,Madre Laura,3.0,LFQ
31-7-22,2022-04-08 00:00:00,Madre Laura,2.0,LFQ
2022-08-08 00:00:00,2022-08-08 00:00:00,Madre Laura,42.0,LFQ
2022-08-08 00:00:00,2022-08-08 00:00:00,Tabi Natural,4.0,LFQ
2022-02-08 00:00:00,2022-08-08 00:00:00,Madre Laura,1.0,LFQ
2022-06-08 00:00:00,2022-09-08 00:00:00,Madre Laura,2.0,LFQ
2022-06-08 00:00:00,2022-09-08 00:00:00,Madre Laura,2.0,LFQ
2022-06-08 00:00:00,2022-09-08 00:00:00,Madre Laura,4.0,LFQ
2022-06-08 00:00:00,2022-10-08 00:00:00,Madre Laura,1.0,LFQ
2022-06-08 00:00:00,2022-10-08 00:00:00,Madre Laura,2.0,LFQ
2022-06-08 00:00:00,2022-12-08 00:00:00,Madre Laura,6.0,LFQ
2022-06-08 00:00:00,2022-12-08 00:00:00,Madre Laura,2.0,LFQ
2022-12-08 00:00:00,16-8-22,Madre Laura,3.0,LFQ
2022-12-08 00:00:00,16-8-22,Madre Laura,3.0,LFQ
2022-12-08 00:00:00,16-8-22,Madre Laura,2.0,LFQ
2022-12-08 00:00:00,16-8-22,Madre Laura,4.0,LFQ
2022-12-08 00:00:00,17-8-22,Madre Laura,3.0,LFQ
18-8-22,18-8-22,Madre Laura,4.0,LFQ
18-8-22,18-8-22,Doña Dolly,1.0,LFQ
2022-12-08 00:00:00,19-8-22,Madre Laura,1.0,LFQ
2022-12-08 00:00:00,19-8-22,Madre Laura,5.0,LFQ
2022-12-08 00:00:00,22-8-22,Madre Laura,1.0,LFQ
18-8-22,22-8-22,Madre Laura,2.0,LFQ
2022-12-08 00:00:00,22-8-22,Madre Laura,3.0,LFQ
18-8-22,23-8-22,Madre Laura,3.0,LFQ
2022-12-08 00:00:00,23-8-22,Madre Laura,1.0,LFQ
18-8-22,25-8-22,Madre Laura,2.0,LFQ
2022-12-08 00:00:00,29-8-22,Madre Laura,1.0,LFQ
18-8-22,29-8-22,Madre Laura,1.0,LFQ
18-8-22,29-8-22,Madre Laura,1.0,LFQ
18-8-22,30-8-22,Madre Laura,1.0,LFQ
18-8-22,31-8-22,Madre Laura,2.0,LFQ
29-8-22,31-8-22,Madre Laura,38.0,LFQ
29-8-22,31-8-22,Tabi Natural,2.0,LFQ
30-8-22,31-8-22,Madre Laura,5.0,LFQ
30-822,2022-02-09 00:00:00,Madre Laura,6.0,LFQ
30-8-22,2022-02-09 00:00:00,Madre Laura,3.0,LFQ
2022-02-09 00:00:00,2022-02-09 00:00:00,Madre Laura,3.0,LFQ
2022-05-09 00:00:00,2022-02-09 00:00:00,Madre Laura,6.0,LFQ
2022-05-09 00:00:00,2022-02-09 00:00:00,Madre Laura,4.0,LFQ
2022-06-09 00:00:00,2022-02-09 00:00:00,Madre Laura,2.0,LFQ
2022-06-09 00:00:00,2022-02-09 00:00:00,Madre Laura,1.0,LFQ
