FECHA DE TUESTE,FECHA DE EMPAQUE,TIPO DE CAFÉ,CANTIDAD,RESPONSABLE DESPACHO,VERIFICA
2022-10-08 00:00:00,2022-10-08 00:00:00,Madre Laura,2.0,AC,DC
2022-10-08 00:00:00,2022-10-08 00:00:00,Madre Laura,1.0,AC,DC
2022-10-08 00:00:00,2022-10-08 00:00:00,Madre Laura,1.0,AC,DC
2022-10-08 00:00:00,2022-10-08 00:00:00,Madre Laura,2.0,AC,DC
2022-10-08 00:00:00,2022-10-08 00:00:00,Madre Laura,1.0,AC,DC
2022-10-09 00:00:00,2022-10-09 00:00:00,Madre Laura,1.0,AC,DC
2022-10-08 00:00:00,2022-10-08 00:00:00,Madre Laura,1.0,AC,DC
2022-10-08 00:00:00,2022-10-08 00:00:00,Madre Laura,1.0,AC,DC
2022-10-09 00:00:00,2022-10-09 00:00:00,Madre Laura,1.0,AC,DC
2022-10-08 00:00:00,2022-10-08 00:00:00,Madre Laura,1.0,AC,DC
2022-10-09 00:00:00,2022-10-09 00:00:00,Madre Laura,1.0,AC,DC
28-11-22,2022-10-09 00:00:00,Madre Laura,3.0,AC,DC
2022-03-12 00:00:00,2022-10-09 00:00:00,Madre Laura,1.0,AC,DC
28-11-22,26-12-22,Madre Laura,1.0,AC,DC
28-11-22,27-12-22,Madre Laura,2.0,AC,DC
28-11-22,28-12-2022,Madre Laura,2.0,AC,DC
28-11-22,28-11-2022,Madre Laura,4.0,AC,DC
2023-11-01 00:00:00,2023-11-01 00:00:00,Madre Laura,2.0,AC,DC
2023-11-02 00:00:00,2023-11-02 00:00:00,Madre Laura,2.0,AC,DC
2023-11-02 00:00:00,2023-11-02 00:00:00,Madre Laura,1.0,AC,DC
2023-11-02 00:00:00,2023-11-02 00:00:00,Madre Laura,2.0,AC,DC
2023-11-02 00:00:00,2023-11-02 00:00:00,Madre Laura,1.0,AC,DC
15-06-23,15-06-23,Madre Laura,2.0,AC,DC
15-06-23,15-06-23,Madre Laura,1.0,AC,DC
15-06-23,15-06-23,Madre Laura,1.0,AC,DC
15-06-23,15-06-23,Madre Laura,2.0,AC,DC
15-06-23,15-06-23,Madre Laura,1.0,AC,DC
